iter	Passed	Remaining
665	2182	1094
666	2185	1091
667	2189	1088
668	2192	1084
669	2195	1081
670	2199	1078
671	2202	1075
672	2205	1071
673	2209	1068
674	2212	1065
675	2216	1062
676	2219	1058
677	2222	1055
678	2226	1052
679	2229	1049
680	2233	1046
681	2236	1042
682	2239	1039
683	2243	1036
684	2246	1033
685	2250	1029
686	2253	1026
687	2256	1023
688	2260	1020
689	2263	1016
690	2266	1013
691	2270	1010
692	2273	1007
693	2276	1003
694	2280	1000
695	2283	997
696	2286	993
697	2289	990
698	2292	987
699	2295	983
700	2298	980
701	2302	977
702	2305	973
703	2308	970
704	2311	967
705	2314	963
706	2317	960
707	2321	957
708	2324	953
709	2327	950
710	2330	947
711	2333	944
712	2337	940
713	2340	937
714	2343	933
715	2346	930
716	2349	927
717	2352	924
718	2355	920
719	2358	917
720	2361	913
721	2365	910
722	2380	911
723	2382	908
724	2386	905
725	2388	901
726	2391	898
727	2394	894
728	2397	891
729	2400	887
730	2403	884
731	2406	880
732	2409	877
733	2412	874
734	2415	870
735	2418	867
736	2421	864
737	2424	860
738	2428	857
739	2431	854
740	2434	851
741	2437	847
742	2440	844
743	2444	841
744	2447	837
745	2450	834
746	2453	831
747	2457	827
748	2460	824
749	2463	821
750	2466	817
751	2469	814
752	2472	811
753	2475	807
754	2478	804
755	2482	801
756	2485	797
757	2488	794
758	2491	791
759	2494	787
760	2497	784
761	2500	781
762	2503	777
763	2506	774
764	2510	771
765	2513	767
766	2516	764
767	2519	761
768	2522	757
769	2525	754
770	2529	751
771	2532	748
772	2535	744
773	2539	741
774	2542	738
775	2545	734
776	2548	731
777	2551	728
778	2554	724
779	2558	721
780	2562	718
781	2565	715
782	2568	711
783	2571	708
784	2574	705
785	2578	702
786	2581	698
787	2584	695
788	2587	691
789	2590	688
790	2593	685
791	2596	681
792	2599	678
793	2602	675
794	2605	671
795	2609	668
796	2612	665
797	2615	662
798	2618	658
799	2621	655
800	2624	652
801	2628	648
802	2631	645
803	2634	642
804	2637	638
805	2640	635
806	2643	632
807	2646	628
808	2650	625
809	2654	622
810	2657	619
811	2660	615
812	2663	612
813	2666	609
814	2670	606
815	2673	602
816	2676	599
817	2679	596
818	2682	592
819	2685	589
820	2688	586
821	2691	582
822	2695	579
823	2697	576
824	2701	572
825	2704	569
826	2707	566
827	2710	563
828	2714	559
829	2717	556
830	2720	553
831	2723	549
832	2726	546
833	2729	543
834	2732	539
835	2735	536
836	2739	533
837	2742	530
838	2745	526
839	2748	523
840	2751	520
841	2754	516
842	2758	513
843	2761	510
844	2764	507
845	2768	503
846	2771	500
847	2774	497
848	2777	494
849	2781	490
850	2783	487
851	2787	484
852	2790	480
853	2793	477
854	2796	474
855	2799	470
856	2802	467
857	2806	464
858	2809	461
859	2812	457
860	2815	454
861	2818	451
862	2821	447
863	2824	444
864	2827	441
865	2830	438
866	2834	434
867	2837	431
868	2840	428
869	2843	424
870	2846	421
871	2849	418
872	2853	415
873	2856	411
874	2859	408
875	2862	405
876	2866	401
877	2869	398
878	2872	395
879	2875	392
880	2878	388
881	2881	385
882	2885	382
883	2888	379
884	2891	375
885	2894	372
886	2898	369
887	2901	365
888	2904	362
889	2907	359
890	2910	356
891	2914	352
892	2917	349
893	2921	346
894	2924	343
895	2927	339
896	2930	336
897	2933	333
898	2937	329
899	2940	326
900	2943	323
901	2946	320
902	2950	316
903	2953	313
904	2956	310
905	2959	307
906	2962	303
907	2965	300
908	2969	297
909	2972	293
910	2975	290
911	2978	287
912	2981	284
913	2984	280
914	2988	277
915	2991	274
916	2994	271
917	2997	267
918	3001	264
919	3004	261
920	3007	257
921	3010	254
922	3013	251
923	3016	248
924	3020	244
925	3023	241
926	3026	238
927	3029	235
928	3032	231
929	3035	228
930	3039	225
931	3042	221
932	3045	218
933	3048	215
934	3051	212
935	3054	208
936	3057	205
937	3061	202
938	3064	199
939	3067	195
940	3070	192
941	3073	189
942	3076	185
943	3079	182
944	3082	179
945	3086	176
946	3089	172
947	3092	169
948	3095	166
949	3098	163
950	3101	159
951	3105	156
952	3108	153
953	3112	150
954	3115	146
955	3118	143
956	3121	140
957	3124	136
958	3127	133
959	3129	130
960	3133	127
961	3135	123
962	3139	120
963	3142	117
964	3145	114
965	3148	110
966	3152	107
967	3155	104
968	3158	101
969	3161	97
970	3164	94
971	3167	91
972	3170	87
973	3173	84
974	3176	81
975	3180	78
976	3183	74
977	3186	71
978	3189	68
979	3192	65
980	3195	61
981	3198	58
982	3201	55
983	3204	52
984	3208	48
985	3211	45
986	3214	42
987	3217	39
988	3220	35
989	3223	32
990	3226	29
991	3230	26
992	3233	22
993	3236	19
994	3239	16
995	3242	13
996	3245	9
997	3249	6
998	3252	3
999	3255	0
